Titulo,Data,Resumo
Coreia do Sul entra na corrida pela Lua com a sonda robótica Danuri,1 de agosto de 2022,"Primeira sonda lunar da Coreia do Sul vai investigar presença de água, silício e até urânio na Lua. Missão abre caminho para o programa Artemis, da NASA"
Estratégias podem reduzir a dependência externa de matéria-prima para fertilizantes,1 de agosto de 2022,"Técnicas para aumentar eficiência no uso, inoculação de microrganismos em sementes e mapeamento de novas fontes de insumos podem amenizar necessidade de importação"
"A história da Hy-Brasil, ilha fantasma da Irlanda que aparece em mapas antigos",31 de julho de 2022,Uma ilha-fantasma envolta em neblina e que só aparece a cada sete anos: conheça os mistérios e hipóteses por trás da Hy-Brasil
Os 5 lançamentos de jogos mais aguardados de agosto,31 de julho de 2022,O mês que começa amanhã vai ficar marcado por estreias aguardadas no mundo dos games. Listamos aqui algumas das principais
Martin Scorsese e Leonardo DiCaprio farão novo filme juntos com trama no Brasil,31 de julho de 2022,"Baseada em livro que estreia em 2023, produção narra uma expedição naval britânica no século 18, e sairá no Apple TV - com Robert De Niro no elenco"
Descoberto o mecanismo que pode provocar o colapso da grande circulação do Atlântico,31 de julho de 2022,A dinâmica que controla a temperatura das águas do Atlântico está ameaçada - por causa do aquecimento global. E uma pesquisa recente descobriu a sequência de eventos que pode provocar esse colapso
Do chão de fábrica ao PIX: a história do QR code,31 de julho de 2022,"Uma subsidiária da Toyota criou a tecnologia em 1994, para facilitar a vida de funcionários, que tinham que lidar com milhares de códigos de barras por dia. Conheça a história"
Novo segmento enriquece empresário de 31 anos: revenda de sites no Shopify,31 de julho de 2022,"Comprar empresas novatas no Shopify, fazê-las crescer e, depois, vendê-las lucrando alto. Essa foi a fórmula que o americano John Chen encontrou para se tornar"
"As 10 piores capas de discos de grandes artistas, segundo a Far Out",31 de julho de 2022,"David Bowie, Bob Dylan, Queen e Rolling Stones. Nem mesmo grandes medalhões escaparam das críticas ácidas da revista. Confira"
Última chance: adquira já o Windows 10 Pro por R$ 75 e outras ótimas ofertas nas vendas de verão,31 de julho de 2022,"Softwares como o Windows e Pacote Office são essenciais para o mercado de trabalho, já que os mesmos são a base para um bom funcionamento do ambiente de trabalho e de um fluxo de produtividade constante de quem desempenha papéis…"
